CaseID,TVchildBR,compchildBR,tabletchildBR,cellchildBR,gamechildBR,mp3childBR,count
180,2,1,2,1,2,1,9
1027,2,2,2,2,2,2,12
635,1,2,2,1,1,1,8
3,1,2,1,1,1,1,7
265,1,1,1,2,2,1,8
1091,2,2,1,2,1,1,9
30,2,2,2,2,2,2,12
263,1,2,1,1,1,1,7
486,1,2,2,2,1,1,9
490,2,1,2,1,1,1,8
877,1,1,1,1,1,1,6
1146,2,2,2,2,2,1,11
1206,1,2,1,1,2,1,8
1282,1,2,2,2,1,1,9
1316,2,1,1,1,2,1,8
1426,1,2,2,2,2,2,11
1430,2,1,2,2,1,1,9
402,2,2,2,2,2,2,12
526,2,2,2,2,2,2,12
563,1,1,1,1,1,1,6
582,1,1,2,2,1,1,8
757,1,2,1,1,2,1,8
977,2,2,2,2,2,2,12
990,2,1,1,1,2,2,9
1184,1,2,2,2,2,2,11
322,2,2,2,2,2,2,12
397,2,2,1,2,1,1,9
819,2,1,2,1,2,2,10
943,2,2,1,2,2,2,11
992,1,2,2,1,2,2,10
1142,2,2,2,2,2,2,12
1158,1,1,1,1,1,1,6
1245,1,2,2,1,2,2,10
1512,1,2,1,2,1,2,9
852,2,2,2,2,2,1,11
572,2,2,2,2,2,2,12
532,1,1,1,2,1,1,7
377,2,2,1,2,2,1,10
261,1,2,1,1,1,1,7
314,1,1,2,1,2,1,8
437,1,2,2,1,2,1,9
1050,2,2,2,2,2,2,12
612,2,2,1,2,2,1,10
670,1,1,1,1,1,2,7
1185,2,2,2,2,2,2,12
1363,2,2,1,2,2,2,11
1391,1,2,2,2,2,2,11
128,2,2,2,2,2,1,11
216,1,2,2,2,2,2,11
507,1,2,2,2,2,2,11
528,2,2,2,2,2,2,12
678,1,2,2,2,2,1,10
727,1,1,1,2,2,2,9
740,2,2,2,2,2,1,11
751,2,2,2,2,2,2,12
811,1,2,2,2,2,2,11
870,1,2,2,2,1,2,10
889,2,2,2,1,2,2,11
981,2,2,2,2,2,1,11
1018,2,2,2,1,2,1,10
1125,1,2,1,2,1,1,8
1252,1,1,2,1,1,1,7
1255,2,2,2,2,2,1,11
1264,2,1,2,1,1,1,8
1297,1,1,1,2,1,2,8
1482,2,1,2,2,2,1,10
1485,2,2,2,2,2,2,12
1527,1,2,1,2,1,2,9
8,1,1,1,1,1,1,6
209,2,2,2,2,2,2,12
248,2,2,2,2,2,2,12
367,2,2,2,2,2,1,11
475,2,2,2,2,2,1,11
529,2,2,2,2,2,2,12
592,1,2,2,2,2,2,11
648,1,2,2,1,1,2,9
792,1,2,2,2,2,2,11
939,1,2,2,2,2,2,11
948,2,2,2,2,2,2,12
968,2,2,2,2,2,2,12
1026,2,2,2,2,2,2,12
1161,2,2,2,2,2,2,12
1220,1,2,2,2,2,2,11
1263,2,2,2,2,2,2,12
1289,1,1,2,2,2,1,9
1343,1,2,1,1,2,2,9
1416,1,1,2,2,1,1,8
1513,1,1,1,1,1,1,6
326,2,2,2,2,2,1,11
408,2,2,2,2,2,2,12
619,1,2,2,2,1,2,10
643,2,2,2,2,2,2,12
679,2,2,2,2,2,2,12
768,2,2,2,2,2,2,12
806,2,2,2,2,2,2,12
857,2,2,2,2,2,1,11
925,2,2,2,2,2,2,12
928,2,2,2,2,2,1,11
1165,2,2,2,2,2,1,11
1200,2,2,2,2,2,1,11
1472,2,2,2,2,2,2,12
1537,2,2,2,2,2,2,12
1133,2,2,1,2,2,1,10
1189,1,2,1,2,1,2,9
17,1,1,1,1,1,1,6
23,2,1,1,2,2,2,10
75,2,1,2,1,2,1,9
150,1,1,1,2,2,2,9
318,2,1,1,1,1,2,8
350,2,1,2,1,2,2,10
500,1,2,1,2,2,2,10
684,2,1,1,1,2,1,8
851,2,1,2,1,2,1,9
1075,1,1,1,2,1,1,7
1078,1,2,1,1,1,1,7
1173,1,1,2,1,1,1,7
1397,1,1,1,2,1,1,7
1419,2,2,2,2,2,1,11
1439,1,2,1,1,2,1,8
94,1,2,1,1,1,1,7
123,1,1,1,1,2,1,7
139,2,2,2,2,2,2,12
179,1,1,1,2,1,1,7
184,2,2,1,1,2,1,9
190,2,2,1,1,2,2,10
259,1,1,1,2,2,1,8
316,2,2,1,1,2,1,9
346,2,1,2,2,2,1,10
348,1,1,2,1,1,1,7
385,1,2,1,1,2,1,8
419,1,1,2,1,1,1,7
433,2,1,1,2,2,1,9
480,1,2,1,2,2,2,10
494,1,2,2,2,2,2,11
541,1,2,2,1,1,2,9
553,2,1,2,1,2,1,9
558,1,2,1,1,2,2,9
600,1,1,2,2,2,1,9
674,1,2,2,2,2,2,11
715,1,1,1,1,1,1,6
716,1,2,1,2,2,2,10
726,1,1,2,1,2,2,9
733,1,2,2,2,2,2,11
753,2,1,1,1,1,2,8
787,1,1,1,1,1,1,6
794,2,2,1,2,2,1,10
846,2,1,2,1,2,2,10
904,1,1,1,1,1,1,6
908,2,2,1,2,2,2,11
947,1,2,2,2,2,2,11
958,1,2,2,2,2,2,11
969,2,2,2,2,2,1,11
1006,1,2,2,1,2,2,10
1024,1,1,2,2,2,1,9
1064,1,1,1,1,1,1,6
1159,2,2,1,1,1,1,8
1193,1,2,2,2,2,1,10
1207,1,2,2,1,1,1,8
1257,2,2,2,1,2,2,11
1274,1,1,2,2,2,1,9
1287,2,2,1,2,2,2,11
1326,1,2,1,2,2,2,10
1352,2,1,2,1,2,2,10
1417,1,1,1,1,1,1,6
1425,1,1,1,2,1,1,7
1447,2,2,1,1,1,1,8
1456,1,2,2,2,1,2,10
1477,2,2,2,2,2,1,11
1494,1,1,1,2,2,2,9
