CaseID,duration,Children6to17,childage,parental,childgender,sleepneeds,oftbathpar,oftmusicpar,oftalcoholpar,oftreadpar,oftyogapar,oftTVpar,oftonlinepar,oftOTCpar,oftotherpar,bed_school,wake_school,bed_nonschool,wake_nonschool,bedhours_school,bedhours_nonschool,sleephours_school,sleephours_nonschool,wakeupatnight,sleepinschool
180,8,1,16,2,1,10,4,4,4,4,4,2,4,4,4,13,6,13,13,3,12,4,13,1,4
1027,19,2,9,1,2,8,2,2,4,2,4,1,4,4,4,9,7,11,9,10,10,9,13,1,1
635,10,1,14,1,1,10,1,3,3,3,4,1,2,3,3,11,7,13,13,8,12,6,12,2,3
3,11,1,17,2,1,8,4,1,4,2,4,2,4,4,4,11,7,13,13,8,13,7,12,1,1
265,8,1,16,1,2,8,4,4,4,3,4,2,3,4,4,11,6,10,10,7,12,7,12,2,1
1091,9,1,15,1,1,10,2,3,2,3,4,1,4,3,4,10,6,11,12,8,13,7,12,1,1
30,13,3,11,1,1,10,3,3,3,1,4,2,2,4,2,10,7,9,9,9,12,8,12,1,1
263,29,3,14,1,1,8,3,3,2,2,4,1,2,4,2,#NULL!,#NULL!,11,11,#NULL!,12,8,12,1,2
486,15,4,12,1,1,10,2,2,3,3,4,1,1,1,3,9,6,12,12,9,12,8,12,3,2
490,18,1,17,1,2,8,2,2,4,2,4,2,1,4,4,10,7,11,11,9,12,8,12,1,2
877,26,3,15,1,1,9,3,2,3,2,3,3,3,3,3,11,6,13,11,7,10,8,12,2,2
1146,13,1,14,2,2,9,1,1,4,1,4,3,4,2,-1,9,6,10,10,9,12,8,12,1,1
1206,14,3,16,5,2,9,1,3,4,3,4,1,3,4,4,9,7,10,10,10,12,8,12,2,-1
1282,35,2,15,1,1,8,1,2,4,2,4,1,4,3,2,10,7,11,12,9,13,8,12,2,1
1316,7,1,15,1,2,8,4,3,2,3,4,2,3,2,3,10,6,11,13,8,14,8,12,1,1
1426,13,1,6,1,2,8,4,4,4,4,4,4,4,4,4,9,5,10,10,8,12,8,12,1,2
1430,10,1,13,1,1,8,4,4,4,4,4,4,4,4,4,10,6,11,11,8,12,8,12,1,2
402,7,1,12,1,2,10,4,2,2,1,4,3,2,3,3,9,6,10,10,9,12,9,12,1,2
526,9,1,7,1,2,11,2,2,4,2,3,3,2,3,3,7,6,9,9,11,12,9,12,1,1
563,12,1,16,1,2,8,1,1,2,2,3,1,2,2,3,9,7,12,11,10,11,9,12,2,-1
582,8,2,9,1,1,9,4,4,4,1,4,4,4,4,4,9,6,9,8,9,11,9,12,1,1
757,32,2,12,1,2,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,6,11,11,9,12,9,12,1,1
977,14,1,10,1,2,10,1,4,4,1,4,4,4,4,4,9,7,10,9,10,11,9,12,1,1
990,8,3,16,1,2,9,2,2,2,1,3,4,3,2,3,11,8,11,11,9,12,9,12,1,1
1184,14,2,10,1,2,9,3,3,4,3,4,2,1,4,4,10,7,11,11,9,12,9,12,1,1
322,13,1,7,1,1,11,2,2,2,2,2,2,4,4,3,8,7,10,9,11,11,10,12,1,1
397,8,2,10,1,2,10,3,4,4,2,4,2,2,4,4,9,8,10,9,11,11,10,12,1,1
819,6,1,17,1,2,10,2,3,3,3,3,2,3,3,3,8,7,8,9,11,13,10,12,2,2
943,8,1,10,1,2,10,1,3,4,3,4,4,1,3,2,9,7,#NULL!,#NULL!,10,#NULL!,10,12,2,1
992,27,2,8,5,2,10,4,3,4,4,4,4,4,4,3,9,7,11,10,10,11,10,12,2,1
1142,9,2,14,1,1,10,3,4,3,4,4,2,4,4,4,10,7,11,10,9,11,10,12,1,1
1158,42,3,14,1,1,10,2,2,4,3,2,2,3,2,2,9,6,11,13,9,14,10,12,1,1
1245,11,1,9,1,2,9,1,2,4,3,4,2,4,4,4,10,7,11,11,9,12,10,12,1,1
1512,14,2,12,1,1,12,1,1,4,1,4,1,1,4,-1,9,8,10,10,11,12,10,12,4,-1
852,9,1,6,1,1,12,3,3,4,2,4,3,2,3,4,7,6,7,7,11,12,11,12,1,1
572,5,1,6,1,2,12,1,3,3,3,3,3,4,3,2,8,8,9,9,12,12,12,12,1,1
532,13,1,17,1,1,8,2,4,4,3,4,1,4,4,4,13,6,13,13,5,11,5,11,2,2
377,10,2,16,1,2,9,2,4,4,3,4,2,4,4,4,11,5,13,12,6,11,6,11,4,2
261,6,1,17,1,1,7,1,1,3,3,4,1,1,2,3,11,6,13,13,7,11,7,11,1,1
314,7,2,16,2,2,7,1,1,4,2,3,1,1,3,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,7,11,3,1
437,19,1,17,2,1,9,3,4,3,4,4,2,3,4,4,10,6,12,12,8,12,7,11,1,2
1050,9,2,14,1,1,8,4,4,4,2,4,1,2,3,3,10,6,11,10,8,11,7,11,1,2
612,11,2,11,1,2,9,1,3,2,1,4,2,1,4,4,9,6,10,9,9,11,8,11,2,1
670,9,2,16,1,1,8,2,4,4,2,4,4,3,4,4,10,6,12,11,8,11,8,11,1,1
1185,8,2,14,1,1,9,1,3,3,1,4,4,4,2,4,10,6,10,9,8,11,8,11,2,1
1363,7,2,17,1,2,9,1,4,3,2,2,2,2,3,2,11,7,12,11,8,11,8,11,2,3
